Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
71830.67,5.72,7.17,5.12,19705.36,1077808.99
57498.85,5.68,7.9,5.16,45008.23,1152524.59
76581.31,5.29,5.5,4.9,35587.03,1139366.65
78607.54,6.4,6.7,4.52,30208.9,1404351.59
47788.87,6.21,7.83,4.49,33673.64,1063542.99
54704.37,4.41,7.06,4.32,46452.95,871888.93
69945.52,4.34,8.47,4.48,43420.56,1182912.87
65212.49,6.4,5.4,4.56,34893.36,1101989.08
68403.93,5.17,5.28,2.25,24857.36,925644.64
59491.26,6.28,7.77,3.01,25557.69,1172132.26
77955.62,6.75,7.86,2.71,43636.82,1702795.15
76872.71,4.72,6.79,5.34,23481.41,999498.05
69286.76,4.58,7.39,6.01,34990.32,1087145.5
80597.14,7.64,7.74,1.31,62772.64,2285593.01
73565.71,6.33,6.17,5.9,40724.14,1443824.61
59424.66,5.56,6.28,4.09,43529.82,993424.32
72513.15,5.06,7.18,5.23,25632.22,975387.67
58363.23,5.47,7.9,4.6,23982.03,988050.39
77945.52,4.8,5.81,5.75,44061.53,1144116.13
68050.89,6.85,6.79,4.24,33360.66,1253099.1
66612.74,5.21,6.74,2.3,47811.19,1128975.1
61325.65,7.06,7.41,3.85,37583.6,1423165.71
81612.85,5.58,6.98,4.61,71459.9,2030431.52
66936.02,4.95,6.44,3.71,31475.23,1012022.14
64017.88,5.56,8.25,4.79,40025.13,1236353.58
64829.96,3.38,6.45,3.9,28281.1,449156.58
74256.35,5.86,6.69,3.25,47398.89,1458603.36
72477.9,5.81,5.38,2.64,41527.59,1187630.21
72981.9,6.8,6.27,3.5,27615.69,1297996.49
73174.69,4.11,7.51,4.23,34006.45,923324.16
91408.68,7.13,7.31,1.57,50770.96,2250448.37
64251.43,6.79,7.6,3.02,49578.71,1493734.53
63123.52,7.22,7.55,1.52,23117.62,1152285.93
59909.81,5.93,9.1,3.22,32530.75,1390140.07
75148.11,6.98,6.23,5.45,55232.86,1556501.03
80615.59,4.52,5.35,2.52,35496.26,1106414.59
67368.55,6.69,5.93,4.84,38975.97,1304664.84
59628.61,5.22,6.28,7.48,47347.8,960123.39
59795.68,4.35,6.01,5.77,23933.8,464441.82
75517.02,4.87,7.08,4.14,27829.0,1241607.39
76504.6,5.99,8.26,5.04,33942.79,1758411.53
74371.94,5.16,8.55,2.3,49111.39,1747084.17
61490.0,6.35,7.5,2.04,47276.67,1591039.46
71057.38,4.19,9.15,4.02,44299.18,1345748.29
69826.64,3.87,6.63,4.47,35774.34,742442.11
70913.78,7.34,5.34,5.33,48366.48,1523031.8
77870.69,6.87,8.05,3.28,35640.5,1814655.84
70966.08,4.94,5.13,4.22,42891.83,839380.85
75818.86,5.98,6.23,4.18,46207.49,1390234.39
69303.26,6.99,7.52,3.82,53996.44,1701887.77
71664.43,6.4,6.89,3.89,36596.48,1431381.28
75311.27,6.13,6.8,2.93,33556.59,1393372.57
53052.63,7.06,5.8,4.32,50009.12,1099876.58
65175.94,5.26,6.98,4.22,50771.14,1315065.43
63569.77,6.01,8.0,3.44,31762.51,1105890.01
61773.84,5.96,7.01,4.8,26188.04,928613.09
65650.53,5.71,6.15,5.24,49254.42,1133699.2
84516.08,5.59,5.73,4.81,20861.36,1147687.06
59354.97,6.05,6.17,2.7,20354.45,657787.68
78902.91,6.01,7.39,4.1,34492.67,1587424.86
50646.97,4.94,7.34,2.86,37179.71,764186.2
65013.8,6.77,6.18,4.1,25642.97,1040183.55
70317.62,5.01,4.76,2.86,38365.0,1081513.01
74830.96,5.76,7.41,5.55,38807.72,1500770.55
76163.25,5.69,6.08,4.94,31395.15,1165202.31
77038.49,6.33,7.69,5.4,56345.13,1844443.53
64866.29,3.88,6.23,5.27,40428.38,700477.81
63655.25,6.86,5.99,3.65,47363.25,1347457.97
77727.31,5.31,7.14,3.46,21710.09,1182990.7
66544.08,7.19,9.37,6.12,21624.45,1305346.39
54986.74,5.51,7.75,3.78,40729.12,922501.97
56504.42,5.93,7.13,2.31,54572.46,1240875.65
58783.48,7.87,7.35,5.22,26139.39,1152833.33
73881.74,5.71,5.22,4.16,37586.01,1147181.52
70100.97,7.21,5.86,5.83,23904.67,1199662.78
75942.19,6.02,4.45,4.28,29030.67,1002932.44
64029.34,6.39,8.74,3.96,38079.63,1534449.6
70272.72,6.05,8.53,5.86,31273.83,1375440.24
75250.54,6.82,7.39,2.09,23205.68,1390801.94
